Tiempo (s),Posición (m),Vector velocidad (m/s),Aceleración (m/s²)
0,,,
0.025,0.156,,
0.05,,,
0.075,0.155,0,
0.1,,,
0.125,0.156,0.01,0.1
0.15,,,
0.175,0.157,0.01,0.7
0.2,,,
0.225,0.157,0.08,2.1
0.25,,,
0.275,0.164,0.22,2.2
0.3,,,
0.325,0.179,0.29,0.7
0.35,,,
0.375,0.194,0.29,0
0.4,,,
0.425,0.208,0.29,0
0.45,,,
0.475,0.223,0.29,0
0.5,,,
0.525,0.238,0.29,-0.1
0.55,,,
0.575,0.252,0.29,-0.1
0.6,,,
0.625,0.266,0.29,0
0.65,,,
0.675,0.281,0.29,0
0.7,,,
0.725,0.296,0.29,-0.1
0.75,,,
0.775,0.31,0.29,0
0.8,,,
0.825,0.324,0.29,0
0.85,,,
0.875,0.339,0.29,0
0.9,,,
0.925,0.353,0.29,0
0.95,,,
0.975,0.368,0.29,0.1
1,,,
1.025,0.382,0.29,-1
1.05,,,
1.075,0.397,0.19,-2.5
1.1,,,
1.125,0.401,0.05,-1.8
1.15,,,
1.175,0.402,0.01,-0.4
1.2,,,
1.225,0.402,0.01,0
1.25,,,
1.275,0.403,0.01,-0.1
1.3,,,
1.325,0.402,0,0.1
1.35,,,
1.375,0.403,0.01,0
1.4,,,
1.425,0.404,0.01,0
1.45,,,
1.475,0.404,0.01,0
1.5,,,
1.525,0.405,0.01,4.10E-04
1.55,,,
1.575,0.405,0.01,0
1.6,,,
1.625,0.406,0.01,0
1.65,,,
1.675,0.406,0.01,-4.10E-04
1.7,,,
1.725,0.406,0.01,0
1.75,,,
1.775,0.407,0.01,0
1.8,,,
1.825,0.407,0.01,0
1.85,,,
1.875,0.407,0.01,8.20E-04
