Tiempo (s),Posición (m),Vector velocidad (m/s),Aceleración (m/s²)
0,0.157,,
0.025,,,
0.05,0.161,0,
0.075,,,
0.1,0.157,-0.04,0
0.125,,,
0.15,0.157,-1.57E-04,0.6
0.175,,,
0.2,0.157,0.02,0.3
0.225,,,
0.25,0.158,0.03,0.2
0.275,,,
0.3,0.16,0.04,-0.6
0.325,,,
0.35,0.163,-0.03,-0.9
0.375,,,
0.4,0.157,-0.05,0.4
0.425,,,
0.45,0.157,0.01,1.5
0.475,,,
0.5,0.157,0.1,2.7
0.525,,,
0.55,0.168,0.28,2.6
0.575,,,
0.6,0.185,0.36,0.7
0.625,,,
0.65,0.203,0.36,-0.1
0.675,,,
0.7,0.221,0.35,0
0.725,,,
0.75,0.238,0.35,0
0.775,,,
0.8,0.256,0.35,-0.1
0.825,,,
0.85,0.274,0.35,-4.80E-04
0.875,,,
0.9,0.291,0.35,0
0.925,,,
0.95,0.309,0.35,-0.1
0.975,,,
1,0.326,0.34,-0.1
1.025,,,
1.05,0.343,0.34,0
1.075,,,
1.1,0.36,0.34,0
1.125,,,
1.15,0.377,0.34,0
1.175,,,
1.2,0.394,0.34,-0.9
1.225,,,
1.25,0.411,0.25,-4.1
1.275,,,
1.3,0.419,-0.07,-5.8
1.325,,,
1.35,0.404,-0.33,-2.8
1.375,,,
1.4,0.386,-0.35,-0.2
1.425,,,
1.45,0.368,-0.35,-7.80E-15
1.475,,,
1.5,0.351,-0.35,-3.20E-04
1.525,,,
1.55,0.333,-0.35,0
1.575,,,
1.6,0.316,-0.35,0.1
1.625,,,
1.65,0.298,-0.35,0
1.675,,,
1.7,0.281,-0.35,-2.50E-04
1.725,,,
1.75,0.264,-0.35,0
1.775,,,
1.8,0.247,-0.34,0
1.825,,,
1.85,0.229,-0.34,0
1.875,,,
1.9,0.212,-0.34,0
1.925,,,
1.95,0.195,-0.34,0
1.975,,,
2,0.178,-0.34,1.4
2.025,,,
2.05,0.161,-0.2,3.2
2.075,,,
2.1,0.158,-0.02,2.2
2.125,,,
2.15,0.159,0.02,0.7
2.175,,,
2.2,0.16,0.05,-0.3
2.225,,,
